date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:14:02	121/121	---MCZ	200	added ('OK')	text/plain	date:Mon,%2015%20Jul%202024%2005:44:00%20GMT	https://pythononlinecompiler.com/robots.txt		(from )
11:14:04	172729/172729	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Jul%202024%2004:43:09%20GMT	https://pythononlinecompiler.com/	C:/Users/ankush/Desktop/clone_chatgpt/https___pythononlinecompiler.com_/pythononlinecompiler.com/index.html	(from )
11:14:05	986787/986787	---MCZ	200	added ('OK')	text/css	date:Mon,%2029%20Apr%202024%2013:19:24%20GMT	https://pythononlinecompiler.com/wp-content/litespeed/css/74841363c56d6d79db4e36c2a64ee9f3.css?ver=ce726	C:/Users/ankush/Desktop/clone_chatgpt/https___pythononlinecompiler.com_/pythononlinecompiler.com/wp-content/litespeed/css/74841363c56d6d79db4e36c2a64ee9f3ee86.css	(from https://pythononlinecompiler.com/)
11:14:06	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Mon,%2015%20Jul%202024%2005:44:04%20GMT	https://pythononlinecompiler.com/xmlrpc.php	C:/Users/ankush/Desktop/clone_chatgpt/https___pythononlinecompiler.com_/pythononlinecompiler.com/xmlrpc.php	(from https://pythononlinecompiler.com/)
11:14:09	27532/27532	---MCZ	200	added ('OK')	application/json	date:Mon,%2015%20Jul%202024%2005:44:06%20GMT	https://pythononlinecompiler.com/wp-json/wp/v2/pages/129	C:/Users/ankush/Desktop/clone_chatgpt/https___pythononlinecompiler.com_/pythononlinecompiler.com/wp-json/wp/v2/pages/129.json	(from https://pythononlinecompiler.com/)
11:14:09	1078/1078	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%225c90d1e4cf8ca3a6b4ebdd348ffd50b6%22	https://pythononlinecompiler.com/feed/	C:/Users/ankush/Desktop/clone_chatgpt/https___pythononlinecompiler.com_/pythononlinecompiler.com/feed/index.html	(from https://pythononlinecompiler.com/)
11:14:09	743/743	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%225c90d1e4cf8ca3a6b4ebdd348ffd50b6%22	https://pythononlinecompiler.com/comments/feed/	C:/Users/ankush/Desktop/clone_chatgpt/https___pythononlinecompiler.com_/pythononlinecompiler.com/comments/feed/index.html	(from https://pythononlinecompiler.com/)
11:14:09	215461/215461	---MCZ	200	added ('OK')	application/json	date:Mon,%2015%20Jul%202024%2005:44:07%20GMT	https://pythononlinecompiler.com/wp-json/	C:/Users/ankush/Desktop/clone_chatgpt/https___pythononlinecompiler.com_/pythononlinecompiler.com/wp-json/index.html	(from https://pythononlinecompiler.com/)
11:14:10	858/858	---MCZ	200	added ('OK')	text/xml	date:Mon,%2015%20Jul%202024%2005:44:09%20GMT	https://pythononlinecompiler.com/xmlrpc.php?rsd	C:/Users/ankush/Desktop/clone_chatgpt/https___pythononlinecompiler.com_/pythononlinecompiler.com/xmlrpc0db0.php	(from https://pythononlinecompiler.com/)
11:14:12	2102/2102	---MCZ	200	added ('OK')	application/json	date:Mon,%2015%20Jul%202024%2005:44:10%20GMT	https://pythononlinecompiler.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fpythononlinecompiler.com%2F	C:/Users/ankush/Desktop/clone_chatgpt/https___pythononlinecompiler.com_/pythononlinecompiler.com/wp-json/oembed/1.0/embed9a30.json	(from https://pythononlinecompiler.com/)
11:14:14	2247/2247	---MCZ	200	added ('OK')	text/xml	date:Mon,%2015%20Jul%202024%2005:44:12%20GMT	https://pythononlinecompiler.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fpythononlinecompiler.com%2F&format=xml	C:/Users/ankush/Desktop/clone_chatgpt/https___pythononlinecompiler.com_/pythononlinecompiler.com/wp-json/oembed/1.0/embed823b	(from https://pythononlinecompiler.com/)
11:14:14	15406/15406	---MCZ	200	added ('OK')	image/x-icon	date:Mon,%2026%20Dec%202022%2016:12:18%20GMT	https://pythononlinecompiler.com/wp-content/uploads/2022/12/favicon.ico	C:/Users/ankush/Desktop/clone_chatgpt/https___pythononlinecompiler.com_/pythononlinecompiler.com/wp-content/uploads/2022/12/favicon.ico	(from https://pythononlinecompiler.com/)
11:14:14	101894/101894	---M-Z	200	added ('OK')	text/css	etag:%226373d4a6-545d%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.2.1/css/all.min.css	C:/Users/ankush/Desktop/clone_chatgpt/https___pythononlinecompiler.com_/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.2.1/css/all.min.css	(from https://pythononlinecompiler.com/)
11:14:15	13536/13536	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2029%20Apr%202024%2013:17:15%20GMT	https://pythononlinecompiler.com/wp-content/plugins/gtranslate/js/base.js	C:/Users/ankush/Desktop/clone_chatgpt/https___pythononlinecompiler.com_/pythononlinecompiler.com/wp-content/plugins/gtranslate/js/base.js	(from https://pythononlinecompiler.com/)
11:14:17	16/16	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Jul%202024%2005:44:14%20GMT	https://pythononlinecompiler.com/wp-content/plugins/litespeed-cache/guest.vary.php	C:/Users/ankush/Desktop/clone_chatgpt/https___pythononlinecompiler.com_/pythononlinecompiler.com/wp-content/plugins/litespeed-cache/guest.vary.html	(from https://pythononlinecompiler.com/)
